,id,food_id,nutrient_id,amount,min,max,median
367,2221290,321900,1220,0.191,0.147,0.24,0.188
368,2221357,321900,1002,0.41,0.25,0.57,0.41
369,2221298,321900,1011,0.58,0.43,0.7,0.62
370,2221364,321900,2012,0.0,,,
371,2221315,321900,1013,0.0,0.0,0.0,0.0
372,2221280,321900,1299,0.0,0.0,0.0,0.0
373,2221343,321900,1226,0.11,0.076,0.17,0.097
374,2221321,321900,1089,0.69,0.51,0.98,0.63
375,2221320,321900,1079,2.4,2.0,2.7,2.5
376,2221301,321900,1087,46.0,34.0,58.0,46.0
377,2221359,321900,1050,3.81,,,
378,2221351,321900,1107,93.0,54.0,118.0,96.0
379,2221335,321900,1210,0.033,0.02,0.05,0.031
380,2221284,321900,1262,0.0,0.0,0.0,0.0
381,2221310,321900,1167,0.639,0.505,0.8,0.609
382,2221370,321900,1085,0.07,,,
383,2221288,321900,1216,0.028,0.025,0.03,0.028
384,2221336,321900,1211,0.088,0.072,0.11,0.086
385,2221277,321900,1009,0.0,,,0.0
386,2221334,321900,1261,0.0,0.0,0.0,0.0
387,2221338,321900,1217,0.117,0.084,0.15,0.118
388,2221265,321900,1293,0.017,,,
389,2221276,321900,1062,132.0,,,
390,2221332,321900,1166,0.114,0.07,0.156,0.112
391,2221366,321900,2018,0.0,,,
392,2221311,321900,1170,0.61,0.322,0.885,0.62
393,2221305,321900,1109,0.15,0.04,0.22,0.15
394,2221354,321900,1082,0.0,0.0,0.0,0.0
395,2221317,321900,1007,0.83,0.69,0.92,0.83
396,2221306,321900,1125,0.0,0.0,0.0,0.0
397,2221350,321900,1122,0.0,0.0,0.0,0.0
398,2221349,321900,1120,0.0,0.0,0.0,0.0
399,2221291,321900,1221,0.059,0.048,0.07,0.059
400,2221363,321900,2010,0.001,,,
401,2221313,321900,1184,0.0,0.0,0.0,0.0
402,2221267,321900,1266,0.006,0.006,0.006,0.006
403,2221367,321900,2020,0.0,,,
404,2221275,321900,1258,0.039,,,
405,2221339,321900,1218,0.05,0.047,0.054,0.05
406,2221325,321900,1098,0.059,0.04,0.075,0.063
407,2221314,321900,1012,0.82,0.73,0.94,0.81
408,2221323,321900,1091,67.0,59.0,81.0,66.0
409,2221329,321900,1131,0.0,0.0,0.0,0.0
410,2221292,321900,1223,0.325,0.259,0.41,0.315
411,2221302,321900,1092,303.0,272.0,326.0,306.0
412,2221327,321900,1127,0.0,0.0,0.0,0.0
413,2221337,321900,1215,0.038,0.036,0.04,0.039
414,2221272,321900,1323,0.001,0.0,0.001,0.001
415,2221344,321900,1300,0.0,0.0,0.0,0.0
416,2221307,321900,1126,0.04,0.03,0.07,0.04
417,2221326,321900,1101,0.197,0.179,0.218,0.197
418,2221293,321900,1227,0.121,0.092,0.14,0.126
419,2221274,321900,1273,0.002,0.001,0.002,0.002
420,2221295,321900,1277,0.0,0.0,0.0,0.0
421,2221282,321900,1321,0.0,0.0,0.0,0.0
422,2221328,321900,1130,0.0,0.0,0.0,0.0
